accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,recall_floor,score_key,specificity,threshold,tn,tp
0.4782608695652174,0.5975506756756757,0.5135135135135135,0.21933059433059432,37,0.14852335164835165,32,low_is_c1,0.030022765988906994,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,0.8,high_low_gap_0_8_0_3,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5983952702702703,0.5135135135135135,0.2647844272844273,37,0.20935210622710623,32,low_is_c1,0.02313633291046823,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,0.8,high_low_gap_0_8_0_2,0.02702702702702703,0.5384615384615385,1,32
0.4782608695652174,0.5907939189189189,0.5135135135135135,0.1207091707091707,37,0.04545558608058608,32,low_is_c1,0.022816646476118994,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,0.8,high_low_gap_0_8_0_5,0.02702702702702703,0.576923076923077,1,32
0.4782608695652174,0.5253378378378378,0.5135135135135135,0.4326662938407997,37,0.41706576714751453,32,low_is_c1,0.0015653456784353963,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,0.8,consistency_score_file_q25,0.02702702702702703,0.7518558847405894,1,32
0.4782608695652174,0.5291385135135135,0.5135135135135135,0.4663090288090288,37,0.4492559523809524,32,low_is_c1,0.0014922825601984017,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,0.8,high_low_gap_0_6_0_2,0.02702702702702703,0.8461538461538463,1,32
0.4782608695652174,0.5050675675675675,0.5135135135135135,0.16160858660858662,37,0.15636446886446886,32,low_is_c1,0.0008140403731289692,0.6399999999999999,0.8163265306122449,0,36,0.47058823529411764,1.0,0.8,low_score_rate_0_2,0.02702702702702703,0.35384615384615387,1,32
0.463768115942029,0.6224662162162162,0.5,0.31763893013893013,37,0.265224358974359,32,low_is_c1,0.04796244943033696,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_score_rate_0_9,0.0,0.5384615384615384,0,32
0.463768115942029,0.5570101351351351,0.5,0.035579155097481205,37,0.07043989196046847,32,high_is_c1,0.036465813584835596,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,worst_score,0.0,0.0,0,32
0.463768115942029,0.6081081081081081,0.5,0.06994686994686994,37,-0.005757783882783884,32,low_is_c1,0.03596076232266167,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_9_0_4,0.0,0.42857142857142855,0,32
0.463768115942029,0.620777027027027,0.5,0.41720147345147346,37,0.341386217948718,32,low_is_c1,0.034203031091087535,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_7_0_4,0.0,0.8846153846153847,0,32
0.463768115942029,0.597972972972973,0.5,0.16479700854700854,37,0.10509386446886447,32,low_is_c1,0.032358000629513876,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_9_0_5,0.0,0.42307692307692313,0,32
0.463768115942029,0.613597972972973,0.5,0.43751629376629375,37,0.3682806776556777,32,low_is_c1,0.03159298768895451,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_7_0_3,0.0,0.8846153846153847,0,32
0.463768115942029,0.5996621621621622,0.5,0.11057651057651058,37,0.04803113553113553,32,low_is_c1,0.02972107969086324,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_9_0_3,0.0,0.42857142857142855,0,32
0.463768115942029,0.6241554054054055,0.5,0.7217116004437626,37,0.6754349805866565,32,low_is_c1,0.02936174013833483,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,consistency_score_file_median,0.0,0.9220012722793837,0,32
0.463768115942029,0.6140202702702703,0.5,0.29335544335544333,37,0.20589514652014654,32,low_is_c1,0.02911639822914441,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_gap_0_7_0_4,0.0,0.8461538461538463,0,32
0.463768115942029,0.6169763513513513,0.5,0.46024321024321024,37,0.39869505494505497,32,low_is_c1,0.02834404839020397,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_7_0_2,0.0,0.8846153846153847,0,32
0.463768115942029,0.613597972972973,0.5,0.38820558195558197,37,0.3167467948717949,32,low_is_c1,0.02690241041417596,0.6336633663366337,0.8121827411167513,0,37,0.463768115942029,1.0,0.8,high_low_half_penalty_0_7_0_5,0.0,0.8846153846153847,0,32
